model,reference_date,horizon,n_prior_errors,calibration_probability,interval_multiplier,calibration_source
Calibrated blend,2026-03-07,3,21,0.9,2.1633373485727465,prior horizon-specific errors
Calibrated blend,2026-03-14,1,24,0.9,1.7391311026826888,prior horizon-specific errors
Calibrated blend,2026-03-14,2,23,0.9,2.009942155824145,prior horizon-specific errors
Calibrated blend,2026-03-14,3,22,0.9,2.1595498623706497,prior horizon-specific errors
Calibrated blend,2026-03-21,1,25,0.9,1.683510003481385,prior horizon-specific errors
Calibrated blend,2026-03-21,2,24,0.9,1.9854956932874273,prior horizon-specific errors
Calibrated blend,2026-03-21,3,23,0.9,2.155762376168553,prior horizon-specific errors
Calibrated blend,2026-03-28,1,26,0.9,1.6278889042800793,prior horizon-specific errors
Calibrated blend,2026-03-28,2,25,0.9,1.961049230750711,prior horizon-specific errors
Calibrated blend,2026-03-28,3,24,0.9,2.1519748899664557,prior horizon-specific errors
Calibrated blend,2026-04-04,1,27,0.9,1.581917988378244,prior horizon-specific errors
Calibrated blend,2026-04-04,2,26,0.9,1.9366027682139937,prior horizon-specific errors
Calibrated blend,2026-04-04,3,25,0.9,2.148187403764359,prior horizon-specific errors
Calibrated blend,2026-04-11,1,28,0.9,1.5407721641261454,prior horizon-specific errors
Calibrated blend,2026-04-11,2,27,0.9,1.8925095052175487,prior horizon-specific errors
Calibrated blend,2026-04-11,3,26,0.9,2.1443999175622617,prior horizon-specific errors
Calibrated blend,2026-04-18,1,29,0.9,1.4996263398740455,prior horizon-specific errors
Calibrated blend,2026-04-18,2,28,0.9,1.8385928419912412,prior horizon-specific errors
Calibrated blend,2026-04-18,3,27,0.9,2.1023029221346223,prior horizon-specific errors
Calibrated blend,2026-04-25,1,30,0.9,1.458480515621947,prior horizon-specific errors
Calibrated blend,2026-04-25,2,29,0.9,1.7846761787649317,prior horizon-specific errors
Calibrated blend,2026-04-25,3,28,0.9,2.0410511720942117,prior horizon-specific errors
Calibrated blend,2026-05-02,1,31,0.9,1.417334691369847,prior horizon-specific errors
Calibrated blend,2026-05-02,2,30,0.9,1.7307595155386242,prior horizon-specific errors
Calibrated blend,2026-05-02,3,29,0.9,1.9797994220537993,prior horizon-specific errors
Calibrated blend,2026-05-09,1,32,0.9,1.3761888671177456,prior horizon-specific errors
Calibrated blend,2026-05-09,2,31,0.9,1.6768428523123147,prior horizon-specific errors
Calibrated blend,2026-05-09,3,30,0.9,1.9185476720133894,prior horizon-specific errors
Calibrated blend,2026-05-16,1,33,0.9,1.335043042865646,prior horizon-specific errors
Calibrated blend,2026-05-16,2,32,0.9,1.6229261890860032,prior horizon-specific errors
Calibrated blend,2026-05-16,3,31,0.9,1.8572959219729768,prior horizon-specific errors
