covariate_set,lag_weeks,reference_date,horizon,target_end_date,observed,median,absolute_error,squared_error
NSSP only,3,2025-11-29,1,2025-12-06,7449,6204.917663489659,1244.0823365103406,1547740.8600170284
NSSP only,3,2025-11-29,2,2025-12-13,11156,6624.488578145848,4531.511421854152,20534595.766394638
NSSP only,3,2025-11-29,3,2025-12-20,21083,6851.134855260031,14231.865144739968,202545985.4980644
NSSP only,3,2025-12-06,1,2025-12-13,11156,8841.996813713808,2314.0031862861924,5354610.746142651
NSSP only,3,2025-12-06,2,2025-12-20,21083,9290.598733330411,11792.401266669589,139060727.63415053
NSSP only,3,2025-12-06,3,2025-12-27,37602,9207.890784267172,28394.109215732828,806225438.1549639
NSSP only,3,2025-12-13,1,2025-12-20,21083,13432.975243434706,7650.0247565652935,58522878.77606188
NSSP only,3,2025-12-13,2,2025-12-27,37602,13785.37490594715,23816.625094052848,567231630.8706678
NSSP only,3,2025-12-13,3,2026-01-03,42634,14151.455498424883,28482.544501575117,811255341.284207
NSSP only,3,2025-12-20,1,2025-12-27,37602,27695.548964096834,9906.451035903166,98137772.12674692
NSSP only,3,2025-12-20,2,2026-01-03,42634,29825.69662810981,12808.30337189019,164052635.2663736
NSSP only,3,2025-12-20,3,2026-01-10,29933,30449.254934976125,516.2549349761248,266519.1578872028
NSSP only,3,2025-12-27,1,2026-01-03,42634,49403.86165340972,6769.861653409716,45831026.80630734
NSSP only,3,2025-12-27,2,2026-01-10,29933,54130.59203558592,24197.59203558592,585523460.3206512
NSSP only,3,2025-12-27,3,2026-01-17,19754,55519.74139256133,35765.74139256133,1279188257.3595748
NSSP only,3,2026-01-03,1,2026-01-10,29933,42045.03329211837,12112.033292118373,146701350.46938384
NSSP only,3,2026-01-03,2,2026-01-17,19754,43118.09931106974,23364.099311069738,545881136.6175294
NSSP only,3,2026-01-03,3,2026-01-24,16819,46208.550473449366,29389.550473449366,863745677.0314279
NSSP only,3,2026-01-10,1,2026-01-17,19754,19079.45755663047,674.5424433695298,455007.5079069353
NSSP only,3,2026-01-10,2,2026-01-24,16819,19134.507119053756,2315.5071190537565,5361573.218388627
NSSP only,3,2026-01-10,3,2026-01-31,15751,25320.52551381944,9569.52551381944,91575818.55964123
NSSP only,3,2026-01-17,1,2026-01-24,16819,16794.247828215597,24.75217178440289,612.6700080445905
NSSP only,3,2026-01-17,2,2026-01-31,15751,18070.51210407313,2319.5121040731283,5380136.400941751
NSSP only,3,2026-01-17,3,2026-02-07,16121,15647.230579380945,473.7694206190554,224457.46391371542
NSSP only,3,2026-01-24,1,2026-01-31,15751,18118.937517406983,2367.937517406983,5607128.086343545
NSSP only,3,2026-01-24,2,2026-02-07,16121,15699.178705649472,421.82129435052775,177933.20436755457
NSSP only,3,2026-01-24,3,2026-02-14,16436,13490.79685756822,2945.2031424317793,8674221.550190028
NSSP only,3,2026-01-31,1,2026-02-07,16121,11367.639861979982,4753.360138020018,22594432.601717684
NSSP only,3,2026-01-31,2,2026-02-14,16436,8956.020856095281,7479.9791439047185,55950087.993249565
NSSP only,3,2026-01-31,3,2026-02-21,14731,9774.644387587141,4956.355612412859,24565460.956696447
NSSP only,3,2026-02-07,1,2026-02-14,16436,17732.08105229704,1296.0810522970387,1679826.0941233991
NSSP only,3,2026-02-07,2,2026-02-21,14731,18832.62957403928,4101.629574039282,16823365.162633657
NSSP only,3,2026-02-07,3,2026-02-28,11159,18079.07573277756,6920.075732777561,47887448.147376895
NSSP only,3,2026-02-14,1,2026-02-21,14731,16411.753750215474,1680.7537502154737,2824933.168863379
NSSP only,3,2026-02-14,2,2026-02-28,11159,15496.061183755219,4337.061183755219,18810099.71163622
NSSP only,3,2026-02-14,3,2026-03-07,9598,14352.240046540834,4754.240046540834,22602798.42013259
NSSP only,3,2026-02-21,1,2026-02-28,11159,12382.393390284098,1223.3933902840981,1496691.3873908196
NSSP only,3,2026-02-21,2,2026-03-07,9598,11068.298176936029,1470.2981769360285,2161776.729101409
NSSP only,3,2026-02-21,3,2026-03-14,7793,11277.177158716348,3484.1771587163475,12139490.47332072
NSSP only,3,2026-02-28,1,2026-03-07,9598,8774.57698746281,823.4230125371905,678025.4575758222
NSSP only,3,2026-02-28,2,2026-03-14,7793,8836.11078910827,1043.1107891082702,1088080.1183540781
NSSP only,3,2026-02-28,3,2026-03-21,6088,9371.849405059149,3283.849405059149,10783666.915107327
NSSP only,3,2026-03-07,1,2026-03-14,7793,10375.743915354571,2582.743915354571,6670566.13230106
NSSP only,3,2026-03-07,2,2026-03-21,6088,11020.575604298265,4932.575604298265,24330302.092118394
NSSP only,3,2026-03-07,3,2026-03-28,3306,10636.847646195227,7330.847646195227,53741327.2117261
NSSP only,3,2026-03-14,1,2026-03-21,6088,6197.069552804913,109.06955280491275,11896.16734906365
NSSP only,3,2026-03-14,2,2026-03-28,3306,5459.307009331127,2153.307009331127,4636731.076434563
NSSP only,3,2026-03-14,3,2026-04-04,2901,5596.545702084375,2695.545702084375,7265966.632025546
NSSP only,3,2026-03-21,1,2026-03-28,3306,5255.827649235905,1949.8276492359046,3801827.861724814
NSSP only,3,2026-03-21,2,2026-04-04,2901,5378.671722274839,2477.6717222748393,6138857.163360368
NSSP only,3,2026-03-21,3,2026-04-11,2235,5908.568994896221,3673.568994896221,13495109.16026283
NSSP only,3,2026-03-28,1,2026-04-04,2901,1717.924289146944,1183.075710853056,1399668.137610464
NSSP only,3,2026-03-28,2,2026-04-11,2235,1942.0814592151037,292.9185407848963,85801.27153555297
NSSP only,3,2026-03-28,3,2026-04-18,1941,2750.5509266077297,809.5509266077297,655372.7027714337
NSSP only,3,2026-04-04,1,2026-04-11,2235,4161.410757082555,1926.4107570825554,3711058.405003384
NSSP only,3,2026-04-04,2,2026-04-18,1941,5155.9440088853335,3214.9440088853335,10335864.9802677
NSSP only,3,2026-04-04,3,2026-04-25,1877,5502.758222961911,3625.758222961911,13146122.691375915
NSSP only,3,2026-04-11,1,2026-04-18,1941,1569.2989687126337,371.7010312873663,138161.65666009166
NSSP only,3,2026-04-11,2,2026-04-25,1877,1620.0954090680507,256.9045909319493,65999.96884191221
NSSP only,3,2026-04-11,3,2026-05-02,1649,2226.3994668886066,577.3994668886066,333390.14436324715
NSSP only,3,2026-04-18,1,2026-04-25,1877,2312.6530261936396,435.65302619363956,189793.559231676
NSSP only,3,2026-04-18,2,2026-05-02,1649,2976.514706694109,1327.514706694109,1762295.2964891463
NSSP only,3,2026-04-18,3,2026-05-09,1473,3407.740031524614,1934.740031524614,3743218.989583865
NSSP only,3,2026-04-25,1,2026-05-02,1649,2164.8001143485462,515.8001143485462,266049.7579619734
NSSP only,3,2026-04-25,2,2026-05-09,1473,2528.9938083552624,1055.9938083552624,1115122.9232846508
NSSP only,3,2026-04-25,3,2026-05-16,1306,2786.1728956732472,1480.1728956732472,2190911.8010857254
NSSP only,3,2026-05-02,1,2026-05-09,1473,1565.3330113478469,92.33301134784688,8525.38498456162
NSSP only,3,2026-05-02,2,2026-05-16,1306,1741.4334763026231,435.43347630262315,189602.31228498707
NSSP only,3,2026-05-02,3,2026-05-23,1250,2222.471315869621,972.4713158696209,945700.460189192
NSSP only,3,2026-05-09,1,2026-05-16,1306,1568.8206933954216,262.8206933954216,69074.7168768502
NSSP only,3,2026-05-09,2,2026-05-23,1250,2035.4171083948604,785.4171083948604,616880.0341593439
NSSP only,3,2026-05-09,3,2026-05-30,1060,2561.2845627603692,1501.2845627603692,2253855.338382593
NSSP only,3,2026-05-16,1,2026-05-23,1250,1543.0844783378557,293.08447833785567,85898.51144257298
NSSP only,3,2026-05-16,2,2026-05-30,1060,2026.8435189861991,966.8435189861991,934786.3902056167
NSSP only,3,2026-05-16,3,2026-06-06,1011,2380.0323909582294,1369.0323909582294,1874249.6874928062
