reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.05,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.1,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.15,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.2,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.25,342
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.3,806
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.35,1236
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.4,1645
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.45,2040
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.5,2428
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.55,2817
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.6,3212
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.65,3620
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.7,4050
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.75,4514
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.8,5031
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.85,5634
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.9,6392
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.95,7516
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.975,8490
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.99,9624
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.01,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.025,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.05,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.1,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.15,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.2,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.25,616
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.3,1479
