reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-31,wk inc flu hosp,2,2026-02-14,US,quantile,0.9,21996
2026-01-31,wk inc flu hosp,2,2026-02-14,US,quantile,0.95,24298
2026-01-31,wk inc flu hosp,2,2026-02-14,US,quantile,0.975,26295
2026-01-31,wk inc flu hosp,2,2026-02-14,US,quantile,0.99,28617
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.01,0
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.025,985
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.05,3568
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.1,6545
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.15,8554
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.2,10151
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.25,11521
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.3,12751
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.35,13890
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.4,14972
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.45,16019
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.5,17048
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.55,18078
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.6,19125
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.65,20206
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.7,21346
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.75,22576
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.8,23946
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.85,25543
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.9,27552
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.95,30529
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.975,33112
2026-01-31,wk inc flu hosp,3,2026-02-21,US,quantile,0.99,36115
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.01,10762
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.025,11941
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.05,12956
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.1,14125
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.15,14914
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.2,15541
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.25,16079
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.3,16563
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.35,17010
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.4,17435
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.45,17846
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.5,18251
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.55,18655
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.6,19066
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.65,19491
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.7,19939
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.75,20422
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.8,20960
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.85,21587
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.9,22376
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.95,23546
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.975,24560
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.99,25740
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.01,6599
