reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.05,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.1,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.15,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.2,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.25,175
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.3,419
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.35,751
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.4,1067
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.45,1372
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.5,1672
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.55,1973
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.6,2278
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.65,2593
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.7,2926
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.75,3284
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.8,3684
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.85,4150
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.9,4736
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.95,5604
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.975,6357
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.99,7234
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.01,8
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.025,8
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.05,8
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.1,8
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.15,8
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.2,8
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.25,316
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.3,748
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.35,1148
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.4,1528
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.45,2103
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.5,2682
