model,horizon,n_forecasts,mae,rmse,mean_wis,coverage_95,mean_width_95
ARIMA-persistence ensemble,1,34,1859.1764705882354,3446.426375929984,1494.1756740196079,0.8823529411764706,6243.5
Original ARIMA,1,34,1954.1764705882354,3404.72344907863,1547.4478921568627,0.8823529411764706,6257.294117647059
ARIMA-persistence ensemble,2,34,4364.676470588235,7732.303216339344,3484.6099019607846,0.8529411764705882,12060.764705882353
Original ARIMA,2,34,4407.705882352941,7925.581225670827,3531.9532720588236,0.8529411764705882,12096.558823529413
ARIMA-persistence ensemble,3,34,6071.823529411765,10939.74238055637,4837.2592769607845,0.8529411764705882,16627.264705882353
Original ARIMA,3,34,6102.235294117647,11355.898811786295,4914.413370098039,0.8529411764705882,16682.617647058825
