horizon,n_forecasts,mae,rmse,mean_wis,coverage_95,mean_width_95
1,34,1859.1764705882354,3446.426375929984,1494.1756740196079,0.8823529411764706,6243.5
2,34,4364.676470588235,7732.303216339344,3484.6099019607846,0.8529411764705882,12060.764705882353
3,34,6071.823529411765,10939.74238055637,4837.2592769607845,0.8529411764705882,16627.264705882353
