model,reference_date,horizon,n_prior_errors,calibration_probability,interval_multiplier,calibration_source
Calibrated blend,2026-03-07,3,21,0.9,2.127543826204208,prior horizon-specific errors
Calibrated blend,2026-03-14,1,24,0.9,1.7358561574995415,prior horizon-specific errors
Calibrated blend,2026-03-14,2,23,0.9,1.9224117187286032,prior horizon-specific errors
Calibrated blend,2026-03-14,3,22,0.9,2.1222578003165564,prior horizon-specific errors
Calibrated blend,2026-03-21,1,25,0.9,1.6895899546203257,prior horizon-specific errors
Calibrated blend,2026-03-21,2,24,0.9,1.890675030942038,prior horizon-specific errors
Calibrated blend,2026-03-21,3,23,0.9,2.1169717744289054,prior horizon-specific errors
Calibrated blend,2026-03-28,1,26,0.9,1.6433237517411083,prior horizon-specific errors
Calibrated blend,2026-03-28,2,25,0.9,1.858938343155474,prior horizon-specific errors
Calibrated blend,2026-03-28,3,24,0.9,2.1116857485412543,prior horizon-specific errors
Calibrated blend,2026-04-04,1,27,0.9,1.5929468349982832,prior horizon-specific errors
Calibrated blend,2026-04-04,2,26,0.9,1.8272016553689092,prior horizon-specific errors
Calibrated blend,2026-04-04,3,25,0.9,2.1063997226536033,prior horizon-specific errors
Calibrated blend,2026-04-11,1,28,0.9,1.5405145613236564,prior horizon-specific errors
Calibrated blend,2026-04-11,2,27,0.9,1.7855895447064314,prior horizon-specific errors
Calibrated blend,2026-04-11,3,26,0.9,2.101113696765952,prior horizon-specific errors
Calibrated blend,2026-04-18,1,29,0.9,1.4880822876490274,prior horizon-specific errors
Calibrated blend,2026-04-18,2,28,0.9,1.7390397226059986,prior horizon-specific errors
Calibrated blend,2026-04-18,3,27,0.9,2.0588193333520435,prior horizon-specific errors
Calibrated blend,2026-04-25,1,30,0.9,1.4356500139744004,prior horizon-specific errors
Calibrated blend,2026-04-25,2,29,0.9,1.6924899005055642,prior horizon-specific errors
Calibrated blend,2026-04-25,3,28,0.9,1.998020801175008,prior horizon-specific errors
Calibrated blend,2026-05-02,1,31,0.9,1.3832177402997718,prior horizon-specific errors
Calibrated blend,2026-05-02,2,30,0.9,1.6459400784051317,prior horizon-specific errors
Calibrated blend,2026-05-02,3,29,0.9,1.9372222689979703,prior horizon-specific errors
Calibrated blend,2026-05-09,1,32,0.9,1.3307854666251409,prior horizon-specific errors
Calibrated blend,2026-05-09,2,31,0.9,1.5993902563046971,prior horizon-specific errors
Calibrated blend,2026-05-09,3,30,0.9,1.8764237368209349,prior horizon-specific errors
Calibrated blend,2026-05-16,1,33,0.9,1.278353192950512,prior horizon-specific errors
Calibrated blend,2026-05-16,2,32,0.9,1.5528404342042612,prior horizon-specific errors
Calibrated blend,2026-05-16,3,31,0.9,1.8156252046438972,prior horizon-specific errors
