model,horizon,n_forecasts,mae,rmse
ARIMA,1,34,1954.1764705882354,3404.72344907863
ARIMA,2,34,4407.705882352941,7925.581225670827
ARIMA,3,34,6102.235294117647,11355.898811786295
Persistence,1,34,2484.1470588235293,4626.62454457573
Persistence,2,34,4633.794117647059,8218.222405119004
Persistence,3,34,6294.117647058823,10515.111604677504
Seasonal naive,1,34,7989.441176470588,13715.794929890995
Seasonal naive,2,34,7992.411764705882,13715.955307597062
Seasonal naive,3,34,7986.588235294118,13715.691215881603
