horizon,n_forecasts,mae,rmse,mean_wis,coverage_95,mean_width_95
1,34,1954.1764705882354,3404.72344907863,1547.4478921568627,0.8823529411764706,6257.294117647059
2,34,4407.705882352941,7925.581225670827,3531.9532720588236,0.8529411764705882,12096.558823529413
3,34,6102.235294117647,11355.898811786295,4914.413370098039,0.8529411764705882,16682.617647058825
