model,reference_date,horizon,n_training_rows,target_end_date,min_training_target,max_training_target,nrounds,eta,max_depth,subsample,colsample_bytree,features
XGBoost + leading indicators,2025-11-29,2,67,2025-12-13,2024-08-24,2025-11-29,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-11-29,3,67,2025-12-20,2024-08-24,2025-11-29,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-06,1,68,2025-12-13,2024-08-24,2025-12-06,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-06,2,68,2025-12-20,2024-08-24,2025-12-06,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-06,3,68,2025-12-27,2024-08-24,2025-12-06,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-13,1,69,2025-12-20,2024-08-24,2025-12-13,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-13,2,69,2025-12-27,2024-08-24,2025-12-13,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-13,3,69,2026-01-03,2024-08-24,2025-12-13,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-20,1,70,2025-12-27,2024-08-24,2025-12-20,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-20,2,70,2026-01-03,2024-08-24,2025-12-20,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
