model,reference_date,horizon,n_training_rows,target_end_date,min_training_target,max_training_target,nrounds,eta,max_depth,subsample,colsample_bytree,features
XGBoost quantile,2025-12-06,1,275,2025-12-13,2020-09-05,2025-12-06,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-06,2,274,2025-12-20,2020-09-12,2025-12-06,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-06,3,273,2025-12-27,2020-09-19,2025-12-06,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-13,1,276,2025-12-20,2020-09-05,2025-12-13,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-13,2,275,2025-12-27,2020-09-12,2025-12-13,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-13,3,274,2026-01-03,2020-09-19,2025-12-13,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-20,1,277,2025-12-27,2020-09-05,2025-12-20,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-20,2,276,2026-01-03,2020-09-12,2025-12-20,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-20,3,275,2026-01-10,2020-09-19,2025-12-20,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-27,1,278,2026-01-03,2020-09-05,2025-12-27,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-27,2,277,2026-01-10,2020-09-12,2025-12-27,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-12-27,3,276,2026-01-17,2020-09-19,2025-12-27,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-03,1,279,2026-01-10,2020-09-05,2026-01-03,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-03,2,278,2026-01-17,2020-09-12,2026-01-03,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-03,3,277,2026-01-24,2020-09-19,2026-01-03,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-10,1,280,2026-01-17,2020-09-05,2026-01-10,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-10,2,279,2026-01-24,2020-09-12,2026-01-10,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-10,3,278,2026-01-31,2020-09-19,2026-01-10,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-17,1,281,2026-01-24,2020-09-05,2026-01-17,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-17,2,280,2026-01-31,2020-09-12,2026-01-17,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-17,3,279,2026-02-07,2020-09-19,2026-01-17,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-24,1,282,2026-01-31,2020-09-05,2026-01-24,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-24,2,281,2026-02-07,2020-09-12,2026-01-24,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-24,3,280,2026-02-14,2020-09-19,2026-01-24,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-31,1,283,2026-02-07,2020-09-05,2026-01-31,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-31,2,282,2026-02-14,2020-09-12,2026-01-31,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-01-31,3,281,2026-02-21,2020-09-19,2026-01-31,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-07,1,284,2026-02-14,2020-09-05,2026-02-07,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-07,2,283,2026-02-21,2020-09-12,2026-02-07,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-07,3,282,2026-02-28,2020-09-19,2026-02-07,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-14,1,285,2026-02-21,2020-09-05,2026-02-14,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-14,2,284,2026-02-28,2020-09-12,2026-02-14,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-14,3,283,2026-03-07,2020-09-19,2026-02-14,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-21,1,286,2026-02-28,2020-09-05,2026-02-21,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-21,2,285,2026-03-07,2020-09-12,2026-02-21,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-21,3,284,2026-03-14,2020-09-19,2026-02-21,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-28,1,287,2026-03-07,2020-09-05,2026-02-28,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-28,2,286,2026-03-14,2020-09-12,2026-02-28,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-02-28,3,285,2026-03-21,2020-09-19,2026-02-28,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-07,1,288,2026-03-14,2020-09-05,2026-03-07,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
